Kuwait	30	4a,22c	KWkk bbbb cccc cccc cccc cccc cccc cc
Latvia	21	4a,13c	LVkk bbbb cccc cccc cccc c
Lebanon	28	4n,20c	LBkk bbbb cccc cccc cccc cccc cccc
Libya	25	21n	LYkk bbbs sscc cccc cccc cccc c
Liechtenstein	21	5n,12c	LIkk bbbb bccc cccc cccc c
Lithuania	20	16n	LTkk bbbb bccc cccc cccc
Luxembourg	20	3n,13c	LUkk bbbc cccc cccc cccc
Malta	31	4a,5n,18c	MTkk bbbb ssss sccc cccc cccc cccc ccc
Mauritania	27	23n	MRkk bbbb bsss sscc cccc cccc cxx
Mauritius	30	4a,19n,3a	MUkk bbbb bbss cccc cccc cccc 000m mm
Mayotte	27	10n,11c,2n	YTkk bbbb bsss sscc cccc cccc cxx
Monaco	27	10n,11c,2n	MCkk bbbb bsss sscc cccc cccc cxx
Moldova	24	2c,18c	MDkk bbcc cccc cccc cccc cccc
Montenegro	22	18n	MEkk bbbc cccc cccc cccc xx
Netherlands	18	4a,10n	NLkk bbbb cccc cccc cc
New Caledonia	27	10n,11c,2n	NCkk bbbb bsss sscc cccc cccc cxx
North Macedonia	19	3n,10c,2n	MKkk bbbc cccc cccc cxx
Norway	15	11n	NOkk bbbb cccc ccx
Pakistan	24	4a,16c	PKkk bbbb cccc cccc cccc cccc
Palestinian territories	29	4a,21c	PSkk bbbb cccc cccc cccc cccc cccc c
Poland	28	24n	PLkk bbbs sssx cccc cccc cccc cccc
Portugal	25	21n	PTkk bbbb ssss cccc cccc cccx x
Saint Pierre et Miquelon	27	10n,11c,2n	PMkk bbbb bsss sscc cccc cccc cxx
Qatar	29	4a,21c	QAkk bbbb cccc cccc cccc cccc cccc c
Romania	24	4a,16c	ROkk bbbb cccc cccc cccc cccc
Russia	33	14n,15c	RUkk bbbb bbbb bsss sscc cccc cccc cccc c
Saint Lucia	32	4a,24c	LCkk bbbb cccc cccc cccc cccc cccc cccc
San Marino	27	1a,10n,12c	SMkk xbbb bbss sssc cccc cccc ccc
São Tomé and Príncipe	25	21n	STkk bbbb ssss cccc cccc cccc c
Saudi Arabia	24	2n,18c	SAkk bbcc cccc cccc cccc cccc
Serbia	22	18n	RSkk bbbc cccc cccc cccc xx
Seychelles	31	4a,20n,3a	SCkk bbbb bb ss cccc cccc cccc cccc mmm
Slovakia	24	20n	SKkk bbbb pppp ppcc cccc cccc
Slovenia	19	15n	SIkk bbss sccc cccc cxx
Spain	24	20n	ESkk bbbb ssss xxcc cccc cccc
Sudan	18	14n	SDkk bbcc cccc cccc cc
Sweden	24	20n	SEkk bbbc cccc cccc cccc cccx
Switzerland	21	5n,12c	CHkk bbbb bccc cccc cccc c
Tunisia	24	20n	TNkk bbss sccc cccc cccc ccxx
Turkey	26	5n,1n,16c	TRkk bbbb b0cc cccc cccc cccc cc
Ukraine	29	6n, 19c	UAkk bbbb bbcc cccc cccc cccc cccc c
United Arab Emirates	23	3n,16n	AEkk bbbc cccc cccc cccc ccc
United Kingdom	22	4a,14n	GBkk bbbb ssss sscc cccc cc
Vatican City	22	3n,15n	VAkk bbbc cccc cccc cccc cc
British Virgin Islands	24	4a,16n	VGkk bbbb cccc cccc cccc cccc
Wallis and Futuna	27	10n,11c,2n	WFkk bbbb bsss sscc cccc cccc cxx
